Name des Weihnachtsmarktes;Bild_Link;Traditionell;Modern;Gemütlich;Köstlich;Überraschend;Kinderfreundlich;Romantisch;Kunsthandwerk;URL
Aachener Weihnachtsmarkt;;x;x;;x;;;;;http://www.aachenweihnachtsmarkt.de/
Altstadt-Weihnachtsmarkt Hannover;;x;;x;;x;;x;x;https://www.hannover.de/Veranstaltungs%C2%ADkalender/M%C3%A4rkte/Weihnachtsmarkt-Hannover
Augsburger Christkindlesmarkt;;x;;x;;x;x;x;;http://www.augsburgerchristkindlesmarkt.com/
Berliner Weihnachtsmarkt am Schloss Charlottenburg;;;;;x;x;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/charlottenburg-wilmersdorf/971607-1323017-weihnachtsmarktschlosscharlottenburg.html
Berliner Weihnachtszeit am Roten Rathaus;;;;;;x;;;x;http://www.weihnachteninberlin.de/weihnachtsmaerkte/971790-955635-weihnachtsmarktamrotenrathaus.html
Dresdner Striezelmarkt;;x;;;x;;x;;x;http://www.dresden.de/de/05/02/veranstaltungen/04-Weihnachten-in-Dresden.php?shortcut=Striezelmarkt
Erfurter Weihnachtsmarkt;;;;;x;;x;x;;http://erfurt-touristinformation.de/cms/erfurt-tickets-veranstaltung/erfurter-weihnachtsmarkt.html
Frankfurter Weihnachtsmarkt;;x;;;;;;;x;http://www.frankfurt-tourismus.de/cms/tourismussuite/de/messen_frankfurt_veranstaltungen/weihnachtsmarkt_weihnachten_frankfurt.html
Historischer Weihnachtsmarkt auf dem Hamburger Rathausmarkt;;;;;;x;x;;x;http://www.hamburg.de/weihnachtsmarkt/825530/weihnachtsmarkt-auf-dem-rathausmarkt.html
Leipziger Weihnachtsmarkt;;x;;;;x;x;;x;http://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/calendar/2013/11/26/event/tx_cal_phpicalendar/Leipziger_Weihnachtsmarkt_2013/?tx_cal_controller[page_id]=139&tx_cal_controller[lastview]=view-list|page_id-139|offset-9&cHash=dab750dd4e1d1411f20137ab8a9fcce2
Mittelalter-Weihnachtsmarkt Berlin;;x;;x;;;;x;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/lichtenberg/1326334-1328116-weihnachtsmarktinkarlshorst.html
Münchner Christkindlmarkt;;x;;;;x;x;;x;http://www.muenchen.de/rathaus/Stadtverwaltung/Referat-fuer-Arbeit-und-Wirtschaft/Tourismusamt/Veranstaltungen/Christkindlmarkt.html
Nostalgischer Weihnachtsmarkt Berlin;;;;;;x;x;;x;http://www.berliner-weihnacht.de/
Nürnberger Christkindlesmarkt;;x;;;x;;;x;;http://www.christkindlesmarkt.de/
Weihnachtsmarkt am Kölner Dom;;;;;;x;;;x;http://www.koelnerweihnachtsmarkt.com/
Weihnachtsmarkt auf der Wartburg;;;;x;;;;x;;http://www.eisenach.de/Weihnachtsmarkt-2013.3315.0.html
Weihnachtswelt Bremerhaven;;;x;;;x;x;;;http://www.bremerhaven.de/meer-erleben/veranstaltungen-tickets/veranstaltungen/weihnachtsmarkt-bremerhaven/weihnachtswelt-am-meer.25919.html
